Desc	Family ID	Adohon	Amytra	Arcpla	Bicany	Bommor	Calcec	Cydspl	Danple	Heldem	Hellat	Helmel	Hylves	Hypkah	Juncoe	Leracc	Mansex	Melcin	Opebru	Ostnub	Papgla	Papmac	Pappol	Papxut	Phosen	Pienap	Ploint	Pluxyl	Spofru	Tricni	Vancar
(null)	192	9	8	10	7	9	11	12	7	9	11	8	10	8	7	7	6	8	11	10	8	7	7	8	10	7	9	8	9	8	8
(null)	193	7	10	9	10	6	15	18	6	8	6	8	7	7	7	12	10	10	9	7	7	5	6	6	4	4	11	5	6	9	20
(null)	194	7	8	7	7	8	10	9	8	8	9	7	11	10	7	9	10	11	11	8	10	8	7	9	7	10	7	8	8	8	7
(null)	195	10	8	11	5	8	7	9	6	7	15	4	15	18	7	8	7	9	9	7	7	11	5	7	8	6	9	8	11	6	6
(null)	196	7	10	11	9	9	11	6	6	10	6	7	9	12	7	6	9	11	9	9	8	7	5	6	11	10	10	8	9	7	8
(null)	197	7	7	9	9	10	11	8	5	7	7	8	8	10	12	10	10	10	7	7	10	9	10	11	6	5	8	8	8	7	8
(null)	198	10	9	7	10	8	12	8	6	8	9	8	9	8	11	7	9	8	12	8	8	8	9	8	7	7	7	8	7	9	7
(null)	199	8	7	8	9	8	8	7	10	9	7	7	9	10	8	9	9	8	10	8	7	10	7	10	8	9	8	9	8	8	9
(null)	200	8	5	10	13	6	8	7	10	9	11	9	6	9	12	8	4	10	9	10	9	8	9	9	10	9	5	6	6	5	10
(null)	201	5	15	20	0	3	26	8	0	8	10	2	7	15	18	4	5	21	16	2	3	3	0	1	4	9	9	0	14	0	19
(null)	202	9	8	6	10	6	10	6	11	11	13	6	5	8	8	6	10	9	7	7	9	8	6	9	6	7	7	7	9	10	9
(null)	203	8	10	9	8	8	9	9	7	6	12	6	8	8	8	10	10	5	8	9	7	8	5	8	9	11	8	7	7	8	7
(null)	204	3	3	6	27	9	7	3	8	20	24	17	4	6	13	18	5	10	4	2	6	4	5	5	2	3	2	3	7	4	13
(null)	205	16	3	5	25	3	4	8	7	9	7	7	9	4	9	16	7	6	11	5	4	6	6	5	10	4	6	13	13	9	5
(null)	206	5	8	6	9	9	10	8	6	9	8	8	8	7	7	8	10	7	10	10	10	10	6	7	10	7	6	10	8	7	8
(null)	207	6	8	8	7	9	7	9	8	8	11	9	9	7	9	8	10	8	5	8	7	8	7	8	7	7	9	8	8	10	8
